Address,Price,Beds,Baths,Space
"14 YORK ST 5611, Toronto, Ontario M5J0B1","$618,000 CAD",1 BedBd,1 BathBa,
,"$528,888 CAD",1 BedBd,1 BathBa,
"55 Murellen Cres, Toronto, Ontario","$1,050,000 CAD",4 BedsBds,2 BathsBa,
"521 Brown's Line, Toronto, Ontario M8W3V1","$1,599,000 CAD",5 BedsBds,3 BathsBa,
"108 Felbrigg Ave, Toronto, Ontario M5M2M5","$3,295,000 CAD",5 BedsBds,4 BathsBa,
"122 Coleridge Ave, Toronto, Ontario M4C4H6","$700,000 CAD",3 BedsBds,2 BathsBa,
"76 Trinnell Blvd, Toronto, Ontario M1L 1S7","$849,900 CAD",3 BedsBds,2 BathsBa,
"1801 BAYVIEW AVE 505, Toronto, Ontario M4G4K2","$758,000 CAD",2 BedsBds,2 BathsBa,
"980 Broadview Ave 1002, Toronto, Ontario M4K 3Y1","$849,998 CAD",3 BedsBds,2 BathsBa,
"38 DAN LECKIE Way Unit 707, Toronto, Ontario M5V2V6","$779,900 CAD",2 BedsBds,2 BathsBa,
"25 Collinsgrove Rd 137, Toronto, Ontario M1E3S3","$729,900 CAD",4 BedsBds,2 BathsBa,
"12A CECIL ST, Toronto, Ontario M5T3B1","$2,249,000 CAD",4 BedsBds,3 BathsBa,
"1311 Gerrard St E, Toronto, Ontario","$899,000 CAD",3 BedsBds,4 BathsBa,
"36 LISGAR ST 1706W, Toronto, Ontario M6J0C7","$499,900 CAD",2 BedsBds,2 BathsBa,
"4727 Sheppard Ave E 415, Toronto, Ontario M1S5B3","$539,000 CAD",3 BedsBds,2 BathsBa,
"280 WITHROW AVE, Toronto, Ontario M4J1B7","$1,749,000 CAD",3 BedsBds,3 BathsBa,
"36 LISGAR ST 1706W, Toronto, Ontario M6J0C7","$499,900 CAD",2 BedsBds,2 BathsBa,
"4727 Sheppard Ave E 415, Toronto, Ontario M1S5B3","$539,000 CAD",3 BedsBds,2 BathsBa,
"280 WITHROW AVE, Toronto, Ontario M4J1B7","$1,749,000 CAD",3 BedsBds,3 BathsBa,
"710 Kingston Rd, Toronto, Ontario M4E1R7","$2,400,000 CAD",,3 BathsBa,
"751 Steeles Ave W 62, Toronto, Ontario M2R2S5","$699,900 CAD",5 BedsBds,3 BathsBa,
"350 WELLINGTON ST W M26, Toronto, Ontario M5V3W9","$499,900 CAD",1 BedBd,1 BathBa,
"5229 DUNDAS ST W 1103, Toronto, Ontario M9B6L9","$675,000 CAD",3 BedsBds,2 BathsBa,
"1171 QUEEN ST W 410, Toronto, Ontario M6J0A5","$899,800 CAD",2 BedsBds,2 BathsBa,
"165 WILDWOOD CRES, Toronto, Ontario M4L2K9","$1,348,000 CAD",4 BedsBds,3 BathsBa,
"64 Edgecroft Rd, Toronto, Ontario","$2,099,900 CAD",4 BedsBds,4 BathsBa,
"151 Inglewood Dr, Toronto, Ontario M4T1H8","$4,125,000 CAD",6 BedsBds,5 BathsBa,
"379 Sammon Ave, Toronto, Ontario","$999,009 CAD",3 BedsBds,2 BathsBa,
"112 THIRTIETH ST, Toronto, Ontario M8W3B8","$899,000 CAD",3 BedsBds,3 BathsBa,
"7 JOSALY DR, Toronto, Ontario M1C2N6","$1,488,000 CAD",7 BedsBds,7 BathsBa,
"230 QUEENS QUAY W 531, Toronto, Ontario M5J1B5","$459,000 CAD",1 BedBd,1 BathBa,
"35 SARANAC BLVD 331, Toronto, Ontario M6A2G4","$524,900 CAD",1 BedBd,1 BathBa,
"6 BONNIEWOOD RD, Toronto, Ontario M1K2L8","$800,000 CAD",4 BedsBds,2 BathsBa,
"82 Shangarry Dr, Toronto, Ontario M1R 1A8","$2,239,000 CAD",5 BedsBds,10 BathsBa,
"35 Saranac Blvd, Toronto, Ontario M6A2G5","$499,900 CAD",1 BedBd,1 BathBa,550 SqftSqft
"85 NEWMARKET AVE, Toronto, Ontario M4C1W1","$899,000 CAD",3 BedsBds,1 BathBa,
"122 Generation Blvd, Toronto, Ontario M1B2V1","$699,900 CAD",4 BedsBds,3 BathsBa,
"35 SARANAC BLVD 725, Toronto, Ontario M6A2G5","$499,900 CAD",1 BedBd,1 BathBa,
"2 GLEN GORDON RD, Toronto, Ontario M6P1B8","$3,500,000 CAD",10 BedsBds,5 BathsBa,
"116 Patterson Ave , Toronto, Ontario M1L 3Y6","$599,000 CAD",,,
